time_stamp,humidity,temperature,pressure,voc,scattering_coefficient,visual_range,0.3_um_count
2022-10-17T19:00:00Z,22.233,69.9,838.322,,16.3,131.7,1089.442
2022-10-17T20:00:00Z,22.9,69.1,837.906,,17,128.2,1135.1115
2022-10-17T21:00:00Z,23.267,68.767,837.505,,15.5,136.2,1035.58
2022-10-17T22:00:00Z,23.8,67.7,837.239,,15.9,133.9,1062.7455
2022-10-17T23:00:00Z,25.2,65.7,837.232,,16.9,128.8,1126.278
2022-10-18T00:00:00Z,28.1,62.233,837.466,,14.8,140.8,983.621
2022-10-18T01:00:00Z,30.967,57.267,838.155,,13.7,147.2,916.4285
2022-10-18T02:00:00Z,35.7,54.067,838.558,,15,139.2,1000.47
2022-10-18T03:00:00Z,37.4,51.633,838.88,,15.7,135,1048.981
2022-10-18T04:00:00Z,40.166,49.267,839.115,,16.4,131.5,1092.4254999999998
2022-10-18T05:00:00Z,41.433,48.666,839.055,,16.4,131.3,1094.384
2022-10-18T06:00:00Z,41.6,48.7,838.793,,16.8,129.2,1122.04
2022-10-18T07:00:00Z,42.334,47.633,838.956,,16.3,131.8,1087.855
2022-10-18T08:00:00Z,44.166,46.166,839.182,,14.9,139.6,996.6034999999999
2022-10-18T09:00:00Z,46.633,45.4,839.324,,15,139.1,1002.0695000000001
2022-10-18T10:00:00Z,47.8,44.2,839.588,,13.9,146.4,924.531
2022-10-18T11:00:00Z,47.067,43.834,839.953,,11,167.7,736.2595
2022-10-18T12:00:00Z,48.567,42.633,840.363,,11.2,166.8,743.5415
2022-10-18T13:00:00Z,46.433,44.367,840.294,,10.7,171.2,710.2045
2022-10-18T14:00:00Z,42.8,51.034,840.705,,11,168.4,730.9290000000001
2022-10-18T15:00:00Z,31.867,60.067,840.856,,9.2,185.5,612.663
2022-10-18T16:00:00Z,23.566,66.867,840.546,,7.4,206,496.4315
2022-10-18T17:00:00Z,19.634,70.1,840.168,,4.6,251.2,306.92449999999997
2022-10-18T18:00:00Z,18.633,73.833,839.688,,4.6,251.1,307.3945
2022-10-18T19:00:00Z,17.434,75.5,839.067,,4.3,256.6,288.712
2022-10-18T20:00:00Z,16.7,75.034,838.663,,4.9,246.5,323.57349999999997
2022-10-18T21:00:00Z,16.733,73.7,838.568,,6.1,225.8,404.1415
2022-10-18T22:00:00Z,18.166,72.5,838.63,,6.9,213.6,459.0145
2022-10-18T23:00:00Z,20.033,70.633,838.718,,7.3,207.9,486.69849999999997
2022-10-19T00:00:00Z,23.066,64.6,839.085,,8.9,188.7,592.4694999999999
2022-10-19T01:00:00Z,26.7,57.8,839.574,,6.6,217.1,442.578
2022-10-19T02:00:00Z,27.566,56.267,839.686,,6.2,223.6,413.3195
2022-10-19T03:00:00Z,28.9,54.834,839.896,,6.5,219.1,433.409
2022-10-19T04:00:00Z,28.633,55,840.006,,6.1,225.9,403.7385
2022-10-19T05:00:00Z,29.633,53.934,839.78,,5.9,228.1,394.216
2022-10-19T06:00:00Z,28.5,53.966,839.536,,4.9,244.7,329.79150000000004
2022-10-19T07:00:00Z,27.366,53.567,839.615,,4,263.2,267.50149999999996
2022-10-19T08:00:00Z,28.867,51.567,839.654,,3.6,271.9,241.325
2022-10-19T09:00:00Z,27.533,50.9,839.352,,3,286.8,200.00549999999998
2022-10-19T10:00:00Z,26.767,51.234,839.024,,2.4,303.7,157.7865
2022-10-19T11:00:00Z,24.95,52.666,838.952,,2.5,300.7,165.048
2022-10-19T12:00:00Z,24.634,51.133,838.881,,2.4,302.1,161.57150000000001
2022-10-19T13:00:00Z,21.967,53.6,838.857,,1.9,316.7,128.664
2022-10-19T14:00:00Z,18.7,61.1,838.928,,1.5,330.2,100.54499999999999
