time_stamp,humidity,temperature,pressure,voc,scattering_coefficient,visual_range,0.3_um_count
2024-03-19T23:00:00Z,15.434,80.167,827.563,56.171,66.2,43.6,4410.7880000000005
2024-03-20T00:00:00Z,14.8,82.966,827.633,77.049,335.7,9.4,22382.792
2024-03-20T01:00:00Z,16,81.834,827.716,94.802,644.9,5,42990.254
2024-03-20T02:00:00Z,16.584,80.033,827.957,104.53,423.8,7.5,28252.4895
2024-03-20T03:00:00Z,17,78.3,828.279,109.231,242.9,12.9,16194.296
2024-03-20T04:00:00Z,17,76.367,828.43,111.821,120.9,25.1,8062.924000000001
2024-03-20T05:00:00Z,17,74.567,828.673,114.439,58.9,48.3,3928.8255
2024-03-20T06:00:00Z,17,73.3,828.602,115.023,30.1,84.7,2003.35
2024-03-20T07:00:00Z,17,72.466,828.569,115.585,17.7,125,1177.8955
2024-03-20T08:00:00Z,17,71.433,828.469,115.819,11.2,166.4,746.5840000000001
2024-03-20T09:00:00Z,17,70.733,828.306,114.986,7.6,204.1,505.97950000000003
2024-03-20T10:00:00Z,17,69.966,828.586,115.493,5.3,238.7,352.235
2024-03-20T11:00:00Z,17,69.2,829.348,115.597,,,5620.8240000000005
2024-03-20T12:00:00Z,17.066,68.433,829.868,115.945,846,3.8,56397.743
2024-03-20T13:00:00Z,17.2,68,830.244,109.944,711.7,4.5,47449.7785
2024-03-20T14:00:00Z,17.2,68.267,830.869,105.002,462.6,6.9,30842.6625
2024-03-20T15:00:00Z,17,69.7,831.027,103.132,272.8,11.6,18186.609
2024-03-20T16:00:00Z,16.066,71.9,830.656,104.846,153.9,20,10257.199499999999
2024-03-20T17:00:00Z,16,74.034,830.125,104.502,74.8,39.1,4984.7285
2024-03-20T18:00:00Z,16,76.067,829.266,103.316,33.2,78.2,2214.6515
2024-03-20T19:00:00Z,16,78.034,828.362,102.43,18.5,121.3,1231.2625
2024-03-20T20:00:00Z,16,79.5,827.388,102.757,15,139.3,999.9085
2024-03-20T21:00:00Z,15.867,81.566,826.589,101.817,14.2,144.3,946.0029999999999
2024-03-20T22:00:00Z,15.334,83.5,826.105,103.746,25.9,94.9,1727.4769999999999
2024-03-20T23:00:00Z,14.7,82.867,825.878,75.258,66.2,43.6,4413.1645
2024-03-21T00:00:00Z,15.9,81.6,825.927,87.145,159.2,19.4,10610.508
2024-03-21T01:00:00Z,17,81.633,826.168,109.933,510.2,6.3,34014.238
2024-03-21T02:00:00Z,17,80.534,826.566,113.026,352.1,9,23471.4815
2024-03-21T03:00:00Z,17,79.466,826.931,117.428,218.8,14.3,14585.58
2024-03-21T04:00:00Z,17,77.966,827.264,117.94,126.5,24.1,8436.5245
2024-03-21T05:00:00Z,18,76.367,827.098,115.684,219.5,14.3,14634.978
2024-03-21T06:00:00Z,18,75,826.929,113.154,621.9,5.2,41463.317
2024-03-21T07:00:00Z,18,73.566,826.698,108.014,431.8,7.4,28788.1355
2024-03-21T08:00:00Z,18,72.566,826.623,105.105,276.6,11.4,18441.7005
2024-03-21T09:00:00Z,18,71.834,826.286,104.077,162.7,19,10844.7615
